iter	Passed	Remaining
0	123	122899
1	124	62042
2	125	41685
3	126	31473
4	128	25506
5	129	21396
6	130	18456
7	131	16289
8	132	14634
9	134	13307
10	135	12202
11	136	11245
12	137	10457
13	138	9773
14	139	9168
15	140	8631
16	141	8161
17	141	7739
18	143	7392
19	144	7060
20	145	6765
21	145	6485
22	146	6231
23	147	5996
24	148	5782
25	149	5587
26	149	5405
27	150	5232
28	151	5077
29	152	4927
30	153	4791
31	154	4666
32	156	4580
33	157	4469
34	158	4357
35	159	4261
36	160	4168
37	161	4089
38	162	4003
39	163	3919
40	164	3841
41	165	3766
42	167	3717
43	168	3653
44	169	3587
45	169	3523
46	170	3462
47	171	3403
48	172	3354
49	173	3302
50	174	3250
51	175	3199
52	176	3153
53	178	3119
54	179	3078
55	180	3040
56	181	2997
57	182	2958
58	183	2932
59	185	2902
60	186	2871
61	188	2849
62	189	2818
63	190	2789
64	191	2757
65	192	2726
66	193	2693
67	194	2662
68	195	2635
69	196	2613
70	198	2590
71	199	2564
72	199	2537
73	200	2510
74	201	2487
75	202	2463
76	203	2439
77	204	2416
78	205	2393
79	206	2371
80	207	2349
81	209	2345
82	209	2319
83	210	2299
84	211	2279
85	212	2259
86	213	2239
87	215	2229
88	216	2212
89	217	2194
90	217	2175
91	218	2158
92	220	2150
93	221	2134
94	222	2122
95	223	2107
96	224	2090
97	225	2077
98	227	2069
99	228	2059
100	229	2044
101	230	2030
102	231	2015
103	232	2003
104	233	1994
105	235	1982
106	235	1968
107	236	1955
108	237	1941
109	238	1930
110	239	1919
111	240	1907
112	241	1897
113	242	1884
114	243	1872
115	244	1862
116	245	1852
117	246	1844
118	247	1833
119	248	1824
120	249	1814
121	250	1804
122	251	1795
123	252	1786
124	253	1776
125	254	1766
126	255	1755
127	256	1746
128	257	1739
129	258	1730
130	259	1721
131	260	1711
132	261	1702
133	262	1693
134	263	1685
135	264	1677
136	264	1668
137	265	1660
138	266	1652
139	267	1643
140	268	1638
141	269	1630
142	270	1623
143	271	1616
144	272	1608
145	273	1600
146	274	1593
147	276	1589
148	277	1584
149	278	1577
150	279	1570
151	280	1563
152	281	1558
153	282	1552
154	283	1545
155	284	1538
156	285	1531
157	286	1524
158	287	1520
159	288	1514
160	289	1506
161	290	1500
162	290	1493
163	291	1486
164	292	1479
165	293	1474
166	295	1471
167	295	1465
168	296	1458
169	297	1452
170	298	1447
171	300	1444
172	301	1439
173	301	1433
174	302	1426
175	303	1421
176	304	1415
177	305	1410
178	306	1405
179	307	1401
180	308	1396
181	309	1390
182	310	1385
183	311	1380
184	312	1376
185	313	1372
186	314	1367
187	315	1362
188	316	1357
189	317	1352
190	318	1348
191	319	1344
192	320	1340
193	321	1335
194	322	1330
195	323	1325
196	324	1321
197	325	1317
198	326	1312
199	326	1307
200	327	1302
201	328	1298
202	329	1293
203	330	1288
204	331	1284
205	332	1281
206	333	1276
207	334	1272
208	335	1268
209	335	1263
210	337	1261
211	338	1257
212	339	1253
213	340	1249
214	340	1244
215	341	1241
216	343	1238
217	344	1234
218	345	1230
219	346	1226
220	346	1222
221	347	1218
222	348	1214
223	349	1211
224	350	1208
225	351	1204
226	352	1201
227	353	1196
228	354	1192
229	355	1190
230	356	1187
231	357	1184
232	358	1180
233	359	1176
234	360	1173
235	361	1170
236	362	1167
237	363	1164
238	364	1160
239	365	1156
240	366	1152
241	366	1149
242	367	1146
243	368	1143
244	369	1139
245	370	1135
246	371	1131
247	371	1127
248	372	1123
249	373	1120
250	374	1118
251	375	1116
252	377	1113
253	378	1110
254	379	1107
255	380	1105
256	381	1102
257	382	1098
258	382	1095
259	383	1092
260	384	1088
261	385	1085
262	386	1083
263	387	1080
264	388	1077
265	389	1073
266	389	1070
267	390	1066
268	391	1063
269	392	1060
270	393	1058
271	394	1055
272	395	1052
273	395	1048
274	396	1045
275	397	1042
276	398	1040
277	399	1037
278	400	1034
279	401	1031
280	402	1028
281	402	1025
282	403	1023
